"","estimate","std.error","statistic","df","p.value"
"(Intercept)",-15.6380677736917,4.39961528787309,-3.55441709114789,313.642475191815,0.000430118243808231
"cylinders",-0.163203529976586,0.35703854265054,-0.45710339495847,214.330907198014,0.647876623432652
"displacement",0.00467447650296701,0.00735376899264828,0.635657240204335,312.264591404922,0.525409846168714
"horsepower",0.00670603394512969,0.00729180671396962,0.91966699175971,274.571179116769,0.3583719649749
"weight",-0.00666800384551488,0.000638762534570102,-10.4389401141107,161.990800174459,0
"acceleration",0.066436900604864,0.0789748690242292,0.841241035606928,354.61220362221,0.400779825962377
"model_year",0.757073003160559,0.0523526927520648,14.4610136243794,327.44172701265,0
