"","Estimate","Std.Error","Pr(>|z|)"
"(Intercept)",-14.10030509898,4.21049648781652,0.00544299723752102
"cylinders",0.0372602915304819,0.349772174411849,0.613738673893203
"displacement",0.00891698916942136,0.0067303182517489,0.290107054674176
"horsepower",0.00961477664696841,0.00687759143785266,0.297156799647441
"weight",-0.0077346170488169,0.00056028164510361,8.54996511326527e-35
"acceleration",0.0597054874242082,0.0738413212126924,0.507414988559878
"model_year",0.752750889584562,0.0512833828873688,6.16944658188745e-37
