"","Estimate","Std.Error","Pr(>|z|)"
"(Intercept)",-15.7186067087471,4.33621375169163,0.000465972055887066
"cylinders",-0.117871523721501,0.344188696925017,0.73472859392616
"displacement",0.00443017994248202,0.00721033139947255,0.54697576934447
"horsepower",0.00455254870945364,0.00710525105478457,0.538742552016809
"weight",-0.00673451688541848,0.000602502837598007,5.12110680836827e-25
"acceleration",0.06797552190959,0.0776986191352427,0.391106428594459
"model_year",0.759513224309553,0.051860763831042,5.4006078625144e-38
