"","estimate","std.error","statistic","df","p.value"
"(Intercept)",-18.375317789207,5.71967114284608,-3.21265284844043,23.5976918657224,0.00149557906691289
"cylinders",-0.212370009707124,0.384969041526765,-0.551654774277114,157.830828602386,0.581698975700492
"displacement",0.00730210809173253,0.00734210848735935,0.99455191983397,239.622784119531,0.320957479173678
"horsepower",0.00856555107893459,0.00775843662121124,1.10403055372222,115.043343002705,0.270687301418715
"weight",-0.00653698161243086,0.000688415070833866,-9.49569800166159,53.4993198898888,0
"acceleration",0.0958156650431156,0.0967262115266456,0.990586352249729,25.0665584874954,0.322886815280775
"model_year",0.777359631741809,0.0731129934587876,10.6323048061217,17.0586032019508,0
