"","Estimate","Std.Error","Pr(>|z|)"
"(Intercept)",-19.0575814090226,4.24498887566968,4.38009503875972e-05
"cylinders",-0.213500310930151,0.346104514734467,0.518909854064261
"displacement",0.00509032099124301,0.00716597693379916,0.553464055484118
"horsepower",0.00953742865657519,0.00699029808587424,0.183696764097186
"weight",-0.00660733015162873,0.000587883648225003,6.92930482367335e-25
"acceleration",0.015131406107029,0.0792420570473642,0.471922219986474
"model_year",0.811095567790036,0.0508498768079506,4.89286489900306e-43
